set,id,number,name,faction,type,description,glory,restricted,set
Shadespire,1,1,A Worthy Skull,Garrek's Reavers,Objective,Score this in an end phase if your warband took an enemy leader out of action in the preceding action phase,1,-,Core set
Shadespire,2,2,Blood for the Blood God!,Garrek's Reavers,Objective,Score this immediately if three or more of your fighters made a Charge action in this phase,1,-,Core set
Shadespire,3,3,Coward!,Garrek's Reavers,Objective,Score this immediately if an enemy fighter begins a Move action adjacent to one of your fighters and ends it adjacent to none of your fighters,1,-,Core set
Shadespire,4,4,Draw the Gaze of Khorne,Garrek's Reavers,Objective,Score this immediately if your warband takes two or more enemy fighters out of action in this phase,1,-,Core set
Shadespire,5,5,It Begins,Garrek's Reavers,Objective,Score this in an end phase if at least one fighter from each warband is out of action,1,-,Core set
Shadespire,6,6,Khorne Cares Not,Garrek's Reavers,Objective,Score this in an end phase if five or more fighters are out of action,2,-,Core set
Shadespire,7,7,Khorne's Champion,Garrek's Reavers,Objective,Score this in the third end phase if all fighters except one of your fighters are out of action,6,-,Core set
Shadespire,8,8,Let the Blood Flow,Garrek's Reavers,Objective,Score this immediately if three or more of your fighters made a successful Attack action in this phase,2,-,Core set
Shadespire,9,9,There is Only Slaughter,Garrek's Reavers,Objective,Score this in an end phase if no fighter is holding an objective,1,-,Core set
Shadespire,10,10,Blood Offering,Garrek's Reavers,Ploy,Choose a friendly fighter. They suffer 1 damage. Roll two extra attack dice for their first Attack action in the next activation,-,-,Core set
Shadespire,11,11,Blood Rain,Garrek's Reavers,Ploy,"All Attack actions in the next activation have the Sword characteristic, even if they would normally have the Hammer characteristic",-,-,Core set
Shadespire,12,12,Boon of Khorne,Garrek's Reavers,Ploy,Reaction: Play this after a friendly fighter's Attack action that takes an enemy fighter out of action. Remove all wound tokens from one friendly fighter,-,-,Core set
Shadespire,13,13,Desecrate,Garrek's Reavers,Ploy,Remove one objective that you hold from the battlefield,-,-,Core set
Shadespire,14,14,Final Blow,Garrek's Reavers,Ploy,Reaction: Play this after an enemy fighter's Attack action that takes an adjacent friendly fighter out of action. Their attacker suffers 1 damage,-,-,Core set
Shadespire,15,15,Fuelled by Slaughter,Garrek's Reavers,Ploy,Reaction: Play this after an Attack action or ploy that takes a fighter out of action. A friendly fighter can make an Attack action,-,-,Core set
Shadespire,16,16,Insensate,Garrek's Reavers,Ploy,The first friendly fighter who suffers any amount of damage in the next activation only suffers one damage,-,-,Core set
Shadespire,17,17,Khorne Calls,Garrek's Reavers,Ploy,Roll one extra attack dice for your first Attack action in the next activation,-,-,Core set
Shadespire,18,18,Rebirth in Blood,Garrek's Reavers,Ploy,"Reaction: Play this after an Attack action or ploy that takes your last surviving fighter out of action. Roll a defense dice. If you roll a Shield or Crit remove all wound tokens from them, and place them on a starting hex in your territory",-,-,Core set
Shadespire,19,19,Skulls for the Skull Throne!,Garrek's Reavers,Ploy,Reaction: Play this after a friendly fighter's Attack action that takes an enemy fighter out of action. Draw up to two power cards,-,-,Core set
